id  ,pair       ,price     ,units               ,total_price         ,currency,unixtime     ,status,action,related,profit
6383,B-FUN_BTC  ,8.3e-07   ,120.48192771084338  ,0.0001              ,BTC     ,1612128300000,DONE  ,BUY   ,-1     ,N/A
6384,B-FTM_BTC  ,3.55e-06  ,120.34143873148498  ,0.000427212107496772,BTC     ,1612128000000,DONE  ,SELL  ,-1     ,6.803026874192916
6385,B-VIB_BTC  ,1.02e-06  ,119.04761904761905  ,0.000121428571428571,BTC     ,1612135800000,DONE  ,SELL  ,-1     ,21.428571428571423
6386,B-SNX_BTC  ,0.000528  ,0.18939393939393942 ,0.0001              ,BTC     ,1612119000000,DONE  ,BUY   ,-1     ,N/A
6387,B-NANO_BTC ,0.0001025 ,0.9756097560975611  ,0.0001              ,BTC     ,1612119000000,DONE  ,BUY   ,-1     ,N/A
6388,B-XLM_BTC  ,9.4e-06   ,10.638297872340427  ,0.0001              ,BTC     ,1612104900000,DONE  ,BUY   ,-1     ,N/A
6389,B-VIB_ETH  ,2.552e-05 ,486.61800486618     ,0.0124184914841849  ,ETH     ,1612135800000,DONE  ,SELL  ,-1     ,24.184914841849125
6390,B-XRP_ETH  ,0.00033118,34.81772918770238   ,0.0115309355523833  ,ETH     ,1612076700000,DONE  ,SELL  ,-1     ,15.309355523832751
6391,B-SUSHI_BTC,0.000305  ,0.6841451496952178  ,0.000208664270657041,BTC     ,1612084200000,DONE  ,SELL  ,-1     ,4.3321353285207
6392,B-ZEN_BTC  ,0.0010594 ,0.09439305267132339 ,0.0001              ,BTC     ,1612106100000,DONE  ,BUY   ,-1     ,N/A
6393,H-LUNA_BTC ,4.096e-05 ,24.4140625          ,0.001               ,BTC     ,1612072200000,DONE  ,BUY   ,6407   ,N/A
6394,B-SNX_BTC  ,0.0005196 ,0.19245573518090842 ,0.0001              ,BTC     ,1612137300000,DONE  ,BUY   ,-1     ,N/A
6395,B-RUNE_BTC ,0.00010866,0.9203018590097551  ,0.0001              ,BTC     ,1612105200000,DONE  ,BUY   ,6406   ,N/A
6396,B-XRP_ETH  ,0.00034176,29.260299625468168  ,0.01                ,ETH     ,1612105500000,DONE  ,BUY   ,6408   ,N/A
6397,B-SUSHI_BTC,0.0003043 ,0.32862306933946767 ,0.0001              ,BTC     ,1612118700000,DONE  ,BUY   ,-1     ,N/A
6398,B-SC_BTC   ,2.5e-07   ,555.5555555555555   ,0.000138888888888889,BTC     ,1612125000000,DONE  ,SELL  ,-1     ,38.888888888888886
6399,B-XLM_BTC  ,9.15e-06  ,10.92896174863388   ,0.0001              ,BTC     ,1612106100000,DONE  ,BUY   ,-1     ,N/A
6400,B-XLM_ETH  ,0.00022915,43.63953742090334   ,0.01                ,ETH     ,1612119300000,DONE  ,BUY   ,-1     ,N/A
6401,H-LUNA_BTC ,4.061e-05 ,24.624476729869492  ,0.001               ,BTC     ,1612073400000,DONE  ,BUY   ,6407   ,N/A
6402,B-XLM_BTC  ,9.17e-06  ,10.905125408942203  ,0.0001              ,BTC     ,1612119000000,DONE  ,BUY   ,-1     ,N/A
6403,B-RUNE_BTC ,0.00010515,0.9510223490252021  ,0.0001              ,BTC     ,1612113300000,DONE  ,BUY   ,6406   ,N/A
6404,B-XMR_BTC  ,0.004138  ,0.02467308166790032 ,0.000102097211941772,BTC     ,1612115700000,DONE  ,SELL  ,-1     ,2.097211941771523
6405,H-SUSHI_ETH,0.007358  ,1.359064963305246   ,0.01                ,ETH     ,1612068900000,DONE  ,BUY   ,6411   ,N/A
6406,B-RUNE_BTC ,0.00010844,3.6403034789116586  ,0.00039475450925318 ,BTC     ,1612136700000,DONE  ,SELL  ,-1     ,-1.311372686704944
6407,H-LUNA_BTC ,4.428e-05 ,49.03853922986949   ,0.00217142651709862 ,BTC     ,1612095900000,DONE  ,SELL  ,-1     ,8.571325854931072
6408,B-XRP_ETH  ,0.00037546,29.260299625468168  ,0.0109860720973783  ,ETH     ,1612130400000,DONE  ,SELL  ,-1     ,9.860720973782783
6409,B-SUSHI_BTC,0.000298  ,0.33557046979865773 ,0.0001              ,BTC     ,1612123200000,DONE  ,BUY   ,-1     ,N/A
6410,B-XMR_BTC  ,0.004055  ,0.024660912453760793,0.0001              ,BTC     ,1612119900000,DONE  ,BUY   ,-1     ,N/A
6411,H-SUSHI_ETH,0.00774   ,1.359064963305246   ,0.0105191628159826  ,ETH     ,1612085700000,DONE  ,SELL  ,-1     ,5.191628159826045
6412,H-SUSHI_ETH,0.007599  ,1.3159626266614028  ,0.01                ,ETH     ,1612119000000,DONE  ,BUY   ,6414   ,N/A
6413,H-SUSHI_ETH,0.007492  ,1.3347570742124935  ,0.01                ,ETH     ,1612123200000,DONE  ,BUY   ,6414   ,N/A
6414,H-SUSHI_ETH,0.007937  ,2.6507197008738963  ,0.0210387622658361  ,ETH     ,1612129800000,DONE  ,SELL  ,-1     ,5.193811329180561
